seed,arm,frame,tile_idx,n_all_classes,n_plant,max_det,hit_cap
stock_s0,tile,20260705_132815_000192.jpg,7,435,276,12000,0
stock_s0,tile,20260705_132815_000192.jpg,8,254,137,12000,0
stock_s0,tile,20260705_132815_000192.jpg,9,421,245,12000,0
stock_s0,tile,20260705_132815_000192.jpg,10,397,239,12000,0
stock_s0,tile,20260705_132815_000192.jpg,11,339,190,12000,0
stock_s0,tile,20260705_132815_000192.jpg,12,429,263,12000,0
stock_s0,tile,20260705_132815_000192.jpg,13,343,201,12000,0
stock_s0,tile,20260705_132815_000192.jpg,14,285,173,12000,0
stock_s0,tile,20260705_132815_000192.jpg,15,325,209,12000,0
stock_s0,tile,20260705_132815_000192.jpg,16,164,91,12000,0
stock_s0,tile,20260705_132815_000192.jpg,17,146,77,12000,0
stock_s0,tile,20260705_132815_000192.jpg,18,213,139,12000,0
stock_s0,tile,20260705_132815_000192.jpg,19,139,81,12000,0
stock_s0,tile,20260705_132815_000192.jpg,20,350,200,12000,0
stock_s0,tile,20260705_132815_000192.jpg,21,325,195,12000,0
stock_s0,tile,20260705_132815_000192.jpg,22,210,109,12000,0
stock_s0,tile,20260705_132815_000192.jpg,23,203,105,12000,0
stock_s0,tile,20260705_132815_000192.jpg,24,45,25,12000,0
stock_s0,tile,20260705_132815_000192.jpg,25,148,85,12000,0
stock_s0,tile,20260705_132815_000192.jpg,26,201,104,12000,0
stock_s0,tile,20260705_132815_000192.jpg,27,40,18,12000,0
stock_s0,tile,20260705_132815_000192.jpg,28,202,126,12000,0
stock_s0,tile,20260705_132815_000192.jpg,29,255,151,12000,0
stock_s0,tile,20260705_132815_000192.jpg,30,257,165,12000,0
stock_s0,tile,20260705_132815_000192.jpg,31,256,163,12000,0
stock_s0,tile_addfull,20260705_132815_000192.jpg,-1,1494,531,12000,0
stock_s0,tile,20260705_132815_000276.jpg,0,481,241,12000,0
stock_s0,tile,20260705_132815_000276.jpg,1,672,272,12000,0
stock_s0,tile,20260705_132815_000276.jpg,2,598,253,12000,0
stock_s0,tile,20260705_132815_000276.jpg,3,446,230,12000,0
stock_s0,tile,20260705_132815_000276.jpg,4,558,293,12000,0
stock_s0,tile,20260705_132815_000276.jpg,5,507,277,12000,0
stock_s0,tile,20260705_132815_000276.jpg,6,408,247,12000,0
stock_s0,tile,20260705_132815_000276.jpg,7,441,279,12000,0
stock_s0,tile,20260705_132815_000276.jpg,8,320,174,12000,0
stock_s0,tile,20260705_132815_000276.jpg,9,365,196,12000,0
stock_s0,tile,20260705_132815_000276.jpg,10,345,186,12000,0
stock_s0,tile,20260705_132815_000276.jpg,11,261,165,12000,0
stock_s0,tile,20260705_132815_000276.jpg,12,350,243,12000,0
stock_s0,tile,20260705_132815_000276.jpg,13,387,248,12000,0
stock_s0,tile,20260705_132815_000276.jpg,14,297,175,12000,0
stock_s0,tile,20260705_132815_000276.jpg,15,316,176,12000,0
stock_s0,tile,20260705_132815_000276.jpg,16,174,87,12000,0
stock_s0,tile,20260705_132815_000276.jpg,17,171,80,12000,0
stock_s0,tile,20260705_132815_000276.jpg,18,189,118,12000,0
stock_s0,tile,20260705_132815_000276.jpg,19,129,78,12000,0
stock_s0,tile,20260705_132815_000276.jpg,20,314,209,12000,0
stock_s0,tile,20260705_132815_000276.jpg,21,298,152,12000,0
stock_s0,tile,20260705_132815_000276.jpg,22,276,170,12000,0
stock_s0,tile,20260705_132815_000276.jpg,23,261,148,12000,0
stock_s0,tile,20260705_132815_000276.jpg,24,33,13,12000,0
stock_s0,tile,20260705_132815_000276.jpg,25,122,66,12000,0
stock_s0,tile,20260705_132815_000276.jpg,26,121,89,12000,0
stock_s0,tile,20260705_132815_000276.jpg,27,30,8,12000,0
